Order Date,Order Price,Company ID,Category,Employee Name
2022-08-15,14406.0,2,Hardware,Taylor Rodriguez
2024-01-01,31578.36,4,Sensors,Chris Garcia
2023-12-08,17162.06,15,Hardware,Drew Doe
2024-06-29,34336.79,12,Sensors,Jane Doe
2021-08-27,23639.64,1,Sensors,Morgan Garcia
2022-11-18,45543.82,9,Tools,Chris Garcia
2021-06-25,46914.92,2,Machines,John Garcia
2023-08-04,45837.12,7,Software,Pat Smith
2021-02-07,49057.06,3,Machines,Morgan Martinez
2023-07-07,29134.54,14,Sensors,Alex Garcia
2020-12-20,28792.33,12,Machines,Drew Brown
2020-04-23,27344.66,12,Tools,Drew Johnson
2024-09-25,45868.14,12,Hardware,Jane Martinez
2023-06-12,38440.02,1,Hardware,Drew Rodriguez
2022-10-31,41292.21,2,Tools,Pat Smith
2021-10-06,6242.48,15,Sensors,Morgan Smith
2022-09-16,8388.74,15,Software,Taylor Smith
2023-07-31,27542.66,10,Hardware,Jordan Smith
2021-04-20,4885.41,11,Sensors,Jordan Brown
2022-06-19,13376.08,10,Hardware,Chris Brown
2020-03-09,25562.53,9,Hardware,Alex Martinez
2021-07-05,16228.1,5,Hardware,Chris Martinez
2023-02-13,3366.32,8,Tools,John Rodriguez
2021-08-17,7653.22,9,Software,Morgan Martinez
2023-07-20,32406.25,15,Hardware,Jane Smith
2022-12-30,48658.16,3,Tools,Chris Martinez
2022-04-11,11329.22,14,Software,John Davis
2021-03-09,41010.29,3,Software,Morgan Williams
2022-06-01,11877.49,15,Tools,Casey Davis
2022-04-03,11485.55,10,Tools,Casey Doe
2022-04-29,26210.16,7,Tools,Pat Brown
2022-04-23,3236.92,7,Tools,John Johnson
2022-07-12,31248.83,10,Tools,John Johnson
2023-11-22,4798.9,7,Machines,Chris Smith
2024-08-29,5009.33,12,Sensors,Morgan Johnson
2022-01-14,8945.5,12,Tools,Taylor Williams
2021-07-05,16653.97,9,Hardware,John Davis
2023-08-29,36135.35,15,Sensors,Morgan Smith
2022-06-30,5365.98,10,Tools,Jordan Johnson
2022-02-13,6504.87,10,Machines,Pat Davis
2022-09-15,37774.93,10,Machines,John Williams
2022-01-19,24640.77,10,Machines,Drew Doe
2022-05-14,12324.54,8,Tools,Alex Smith
2023-08-03,48413.93,12,Hardware,John Lee
2021-08-17,24370.7,3,Machines,Morgan Johnson
2021-11-16,21329.59,11,Hardware,Pat Rodriguez
2024-04-06,5598.5,10,Tools,Morgan Johnson
2021-11-10,22370.95,13,Sensors,Pat Davis
2022-09-02,5122.33,10,Sensors,John Williams
2021-08-18,46621.43,15,Machines,Jane Williams
2022-05-18,27163.44,4,Software,Chris Smith
2021-05-24,35858.13,11,Hardware,Taylor Davis
2024-05-31,25418.6,5,Machines,John Garcia
2023-10-22,24637.81,2,Sensors,Chris Lee
2022-12-27,36142.12,6,Machines,Jane Lee
2021-09-28,24768.35,1,Software,Casey Garcia
2023-02-20,14248.47,8,Software,Alex Williams
